name,full_name,owner.login,stargazers_count,forks_count,open_issues_count,language,created_at,updated_at,license.name,html_url,repo_age_days,stars_forks_ratio
public-apis,public-apis/public-apis,public-apis,384175,40992,750,Python,2016-03-20 23:49:42+00:00,2025-12-14 20:44:55+00:00,MIT License,https://github.com/public-apis/public-apis,3555,9.3719506245121
free-programming-books,EbookFoundation/free-programming-books,EbookFoundation,378803,65626,204,Python,2013-10-11 06:50:37+00:00,2025-12-14 20:47:43+00:00,Creative Commons Attribution 4.0 International,https://github.com/EbookFoundation/free-programming-books,4447,5.772148233931674
system-design-primer,donnemartin/system-design-primer,donnemartin,329357,53629,516,Python,2017-02-26 16:15:28+00:00,2025-12-14 21:01:30+00:00,Other,https://github.com/donnemartin/system-design-primer,3213,6.141397378284137
awesome-python,vinta/awesome-python,vinta,273749,26898,526,Python,2014-06-27 21:00:06+00:00,2025-12-14 20:41:45+00:00,Other,https://github.com/vinta/awesome-python,4188,10.177299427466727
Python,TheAlgorithms/Python,TheAlgorithms,214791,49609,793,Python,2016-07-16 09:44:01+00:00,2025-12-14 21:02:58+00:00,MIT License,https://github.com/TheAlgorithms/Python,3438,4.329678082605978
AutoGPT,Significant-Gravitas/AutoGPT,Significant-Gravitas,180287,46180,316,Python,2023-03-16 09:21:07+00:00,2025-12-14 20:53:45+00:00,Other,https://github.com/Significant-Gravitas/AutoGPT,1004,3.904006063230836
stable-diffusion-webui,AUTOMATIC1111/stable-diffusion-webui,AUTOMATIC1111,158950,29514,2443,Python,2022-08-22 14:05:26+00:00,2025-12-14 20:55:53+00:00,GNU Affero General Public License v3.0,https://github.com/AUTOMATIC1111/stable-diffusion-webui,1210,5.3855797248763295
transformers,huggingface/transformers,huggingface,153846,31423,2168,Python,2018-10-29 13:56:00+00:00,2025-12-14 20:01:33+00:00,Apache License 2.0,https://github.com/huggingface/transformers,2603,4.8959679215861
langflow,langflow-ai/langflow,langflow-ai,141118,8163,949,Python,2023-02-08 22:28:03+00:00,2025-12-14 21:03:20+00:00,MIT License,https://github.com/langflow-ai/langflow,1039,17.28751684429744
youtube-dl,ytdl-org/youtube-dl,ytdl-org,139161,10575,4119,Python,2010-10-31 14:35:07+00:00,2025-12-14 20:54:07+00:00,The Unlicense,https://github.com/ytdl-org/youtube-dl,5523,13.159432624113474
yt-dlp,yt-dlp/yt-dlp,yt-dlp,138253,11160,2221,Python,2020-10-26 04:22:55+00:00,2025-12-14 20:51:10+00:00,The Unlicense,https://github.com/yt-dlp/yt-dlp,1875,12.38826164874552
HelloGitHub,521xueweihan/HelloGitHub,521xueweihan,137224,10993,230,Python,2016-05-04 06:24:11+00:00,2025-12-14 20:05:50+00:00,No License,https://github.com/521xueweihan/HelloGitHub,3511,12.48285272446102
langchain,langchain-ai/langchain,langchain-ai,121899,20097,276,Python,2022-10-17 02:58:36+00:00,2025-12-14 20:47:46+00:00,MIT License,https://github.com/langchain-ai/langchain,1154,6.065532168980445
