name,full_name,owner.login,stargazers_count,forks_count,open_issues_count,language,created_at,updated_at,license.name,html_url,repo_age_days,stars_forks_ratio
public-apis,public-apis/public-apis,public-apis,385168,41109,755,Python,2016-03-20 23:49:42+00:00,2025-12-16 10:38:21+00:00,MIT License,https://github.com/public-apis/public-apis,3557,9.369432484370819
Python,TheAlgorithms/Python,TheAlgorithms,214847,49620,801,Python,2016-07-16 09:44:01+00:00,2025-12-16 10:35:37+00:00,MIT License,https://github.com/TheAlgorithms/Python,3440,4.329846835953244
transformers,huggingface/transformers,huggingface,153922,31438,2163,Python,2018-10-29 13:56:00+00:00,2025-12-16 10:38:16+00:00,Apache License 2.0,https://github.com/huggingface/transformers,2604,4.89604936700808
langflow,langflow-ai/langflow,langflow-ai,141277,8172,935,Python,2023-02-08 22:28:03+00:00,2025-12-16 10:39:47+00:00,MIT License,https://github.com/langflow-ai/langflow,1041,17.287934410181105
langchain,langchain-ai/langchain,langchain-ai,122027,20129,286,Python,2022-10-17 02:58:36+00:00,2025-12-16 10:33:47+00:00,MIT License,https://github.com/langchain-ai/langchain,1156,6.062248497193105
DeepSeek-V3,deepseek-ai/DeepSeek-V3,deepseek-ai,100757,16416,70,Python,2024-12-26 09:52:40+00:00,2025-12-16 10:33:08+00:00,MIT License,https://github.com/deepseek-ai/DeepSeek-V3,355,6.137731481481482
thefuck,nvbn/thefuck,nvbn,94918,3801,397,Python,2015-04-08 15:08:04+00:00,2025-12-16 10:27:02+00:00,MIT License,https://github.com/nvbn/thefuck,3904,24.971849513285978
fastapi,fastapi/fastapi,fastapi,93111,8374,184,Python,2018-12-08 08:21:47+00:00,2025-12-16 10:24:53+00:00,MIT License,https://github.com/fastapi/fastapi,2565,11.119058992118461
whisper,openai/whisper,openai,92051,11538,110,Python,2022-09-16 20:02:54+00:00,2025-12-16 09:32:22+00:00,MIT License,https://github.com/openai/whisper,1186,7.978072456231582
markitdown,microsoft/markitdown,microsoft,84276,4846,401,Python,2024-11-13 19:56:40+00:00,2025-12-16 10:37:34+00:00,MIT License,https://github.com/microsoft/markitdown,397,17.39083780437474
core,home-assistant/core,home-assistant,83193,36191,3272,Python,2013-09-17 07:29:48+00:00,2025-12-16 10:37:45+00:00,Apache License 2.0,https://github.com/home-assistant/core,4473,2.2987206764112624
awesome-llm-apps,Shubhamsaboo/awesome-llm-apps,Shubhamsaboo,83011,11703,3,Python,2024-04-29 05:30:25+00:00,2025-12-16 10:22:43+00:00,Apache License 2.0,https://github.com/Shubhamsaboo/awesome-llm-apps,596,7.093138511492779
manim,3b1b/manim,3b1b,82425,6982,483,Python,2015-03-22 18:50:58+00:00,2025-12-16 09:45:16+00:00,MIT License,https://github.com/3b1b/manim,3921,11.805356631337725
d2l-zh,d2l-ai/d2l-zh,d2l-ai,74408,12024,120,Python,2017-08-23 04:40:24+00:00,2025-12-16 10:01:46+00:00,Apache License 2.0,https://github.com/d2l-ai/d2l-zh,3037,6.188290086493679
browser-use,browser-use/browser-use,browser-use,73758,8823,174,Python,2024-10-31 16:00:56+00:00,2025-12-16 10:36:49+00:00,MIT License,https://github.com/browser-use/browser-use,410,8.359741584495069
PayloadsAllTheThings,swisskyrepo/PayloadsAllTheThings,swisskyrepo,72325,16329,15,Python,2016-10-18 07:29:07+00:00,2025-12-16 10:06:20+00:00,MIT License,https://github.com/swisskyrepo/PayloadsAllTheThings,3346,4.4292363280053895
screenshot-to-code,abi/screenshot-to-code,abi,71267,8806,134,Python,2023-11-14 17:53:32+00:00,2025-12-16 10:39:57+00:00,MIT License,https://github.com/abi/screenshot-to-code,762,8.093004769475357
sherlock,sherlock-project/sherlock,sherlock-project,70945,8364,179,Python,2018-12-24 14:30:48+00:00,2025-12-16 10:16:28+00:00,MIT License,https://github.com/sherlock-project/sherlock,2548,8.48218555714969
ragflow,infiniflow/ragflow,infiniflow,69899,7579,2961,Python,2023-12-12 06:13:13+00:00,2025-12-16 10:15:15+00:00,Apache License 2.0,https://github.com/infiniflow/ragflow,735,9.222720675550864
PaddleOCR,PaddlePaddle/PaddleOCR,PaddlePaddle,66358,9507,268,Python,2020-05-08 10:38:16+00:00,2025-12-16 10:30:46+00:00,Apache License 2.0,https://github.com/PaddlePaddle/PaddleOCR,2048,6.9799095403386975
vllm,vllm-project/vllm,vllm-project,65529,11995,3137,Python,2023-02-09 11:23:20+00:00,2025-12-16 10:13:52+00:00,Apache License 2.0,https://github.com/vllm-project/vllm,1040,5.463026260942059
annotated_deep_learning_paper_implementations,labmlai/annotated_deep_learning_paper_implementations,labmlai,64802,6558,27,Python,2020-08-25 02:29:34+00:00,2025-12-16 09:17:26+00:00,MIT License,https://github.com/labmlai/annotated_deep_learning_paper_implementations,1939,9.88136627020433
LLaMA-Factory,hiyouga/LLaMA-Factory,hiyouga,64040,7762,820,Python,2023-05-28 10:09:12+00:00,2025-12-16 09:49:44+00:00,Apache License 2.0,https://github.com/hiyouga/LLaMA-Factory,933,8.250450914712703
keras,keras-team/keras,keras-team,63642,19648,252,Python,2015-03-28 00:35:42+00:00,2025-12-16 09:13:49+00:00,Apache License 2.0,https://github.com/keras-team/keras,3916,3.239108306188925
