name,full_name,owner.login,stargazers_count,forks_count,open_issues_count,language,created_at,updated_at,license.name,html_url,repo_age_days,stars_forks_ratio
public-apis,public-apis/public-apis,public-apis,385168,41109,755,Python,2016-03-20 23:49:42+00:00,2025-12-16 10:38:21+00:00,MIT License,https://github.com/public-apis/public-apis,3557,9.369432484370819
AutoGPT,Significant-Gravitas/AutoGPT,Significant-Gravitas,180318,46181,315,Python,2023-03-16 09:21:07+00:00,2025-12-16 09:55:46+00:00,Other,https://github.com/Significant-Gravitas/AutoGPT,1006,3.9045927979039
langflow,langflow-ai/langflow,langflow-ai,141277,8172,935,Python,2023-02-08 22:28:03+00:00,2025-12-16 10:39:47+00:00,MIT License,https://github.com/langflow-ai/langflow,1041,17.287934410181105
youtube-dl,ytdl-org/youtube-dl,ytdl-org,139181,10575,4120,Python,2010-10-31 14:35:07+00:00,2025-12-16 10:18:28+00:00,The Unlicense,https://github.com/ytdl-org/youtube-dl,5524,13.161323877068558
yt-dlp,yt-dlp/yt-dlp,yt-dlp,138431,11178,2224,Python,2020-10-26 04:22:55+00:00,2025-12-16 10:38:16+00:00,The Unlicense,https://github.com/yt-dlp/yt-dlp,1877,12.384236893898729
langchain,langchain-ai/langchain,langchain-ai,122027,20129,286,Python,2022-10-17 02:58:36+00:00,2025-12-16 10:33:47+00:00,MIT License,https://github.com/langchain-ai/langchain,1156,6.062248497193105
DeepSeek-V3,deepseek-ai/DeepSeek-V3,deepseek-ai,100757,16416,70,Python,2024-12-26 09:52:40+00:00,2025-12-16 10:33:08+00:00,MIT License,https://github.com/deepseek-ai/DeepSeek-V3,355,6.137731481481482
core,home-assistant/core,home-assistant,83193,36191,3272,Python,2013-09-17 07:29:48+00:00,2025-12-16 10:37:45+00:00,Apache License 2.0,https://github.com/home-assistant/core,4473,2.2987206764112624
devops-exercises,bregman-arie/devops-exercises,bregman-arie,80259,18272,47,Python,2019-10-03 17:31:21+00:00,2025-12-16 09:47:10+00:00,Other,https://github.com/bregman-arie/devops-exercises,2265,4.392458406304729
d2l-zh,d2l-ai/d2l-zh,d2l-ai,74408,12024,120,Python,2017-08-23 04:40:24+00:00,2025-12-16 10:01:46+00:00,Apache License 2.0,https://github.com/d2l-ai/d2l-zh,3037,6.188290086493679
browser-use,browser-use/browser-use,browser-use,73758,8823,174,Python,2024-10-31 16:00:56+00:00,2025-12-16 10:36:49+00:00,MIT License,https://github.com/browser-use/browser-use,410,8.359741584495069
sherlock,sherlock-project/sherlock,sherlock-project,70945,8364,179,Python,2018-12-24 14:30:48+00:00,2025-12-16 10:16:28+00:00,MIT License,https://github.com/sherlock-project/sherlock,2548,8.48218555714969
gpt_academic,binary-husky/gpt_academic,binary-husky,69815,8402,293,Python,2023-03-20 09:05:13+00:00,2025-12-16 09:11:42+00:00,GNU General Public License v3.0,https://github.com/binary-husky/gpt_academic,1002,8.309331111640086
vllm,vllm-project/vllm,vllm-project,65529,11995,3137,Python,2023-02-09 11:23:20+00:00,2025-12-16 10:13:52+00:00,Apache License 2.0,https://github.com/vllm-project/vllm,1040,5.463026260942059
scikit-learn,scikit-learn/scikit-learn,scikit-learn,64298,26506,2121,Python,2010-08-17 09:43:38+00:00,2025-12-16 09:56:11+00:00,"BSD 3-Clause ""New"" or ""Revised"" License",https://github.com/scikit-learn/scikit-learn,5600,2.42579038708217
keras,keras-team/keras,keras-team,63642,19648,252,Python,2015-03-28 00:35:42+00:00,2025-12-16 09:13:49+00:00,Apache License 2.0,https://github.com/keras-team/keras,3916,3.239108306188925
