name,full_name,owner.login,stargazers_count,forks_count,open_issues_count,language,created_at,updated_at,license.name,html_url,repo_age_days,stars_forks_ratio,popularity_level
public-apis,public-apis/public-apis,public-apis,385168,41109,755,Python,2016-03-20 23:49:42+00:00,2025-12-16 10:38:21+00:00,MIT License,https://github.com/public-apis/public-apis,3557,9.369432484370819,Very High
free-programming-books,EbookFoundation/free-programming-books,EbookFoundation,378893,65631,204,Python,2013-10-11 06:50:37+00:00,2025-12-16 10:34:29+00:00,Creative Commons Attribution 4.0 International,https://github.com/EbookFoundation/free-programming-books,4449,5.773079794609255,Very High
system-design-primer,donnemartin/system-design-primer,donnemartin,329477,53640,516,Python,2017-02-26 16:15:28+00:00,2025-12-16 10:38:53+00:00,Other,https://github.com/donnemartin/system-design-primer,3214,6.142375093214019,Very High
awesome-python,vinta/awesome-python,vinta,273989,26908,526,Python,2014-06-27 21:00:06+00:00,2025-12-16 10:37:03+00:00,Other,https://github.com/vinta/awesome-python,4189,10.182436450126357,Very High
Python,TheAlgorithms/Python,TheAlgorithms,214847,49620,801,Python,2016-07-16 09:44:01+00:00,2025-12-16 10:35:37+00:00,MIT License,https://github.com/TheAlgorithms/Python,3440,4.329846835953244,Very High
AutoGPT,Significant-Gravitas/AutoGPT,Significant-Gravitas,180318,46181,315,Python,2023-03-16 09:21:07+00:00,2025-12-16 09:55:46+00:00,Other,https://github.com/Significant-Gravitas/AutoGPT,1006,3.9045927979039,Very High
stable-diffusion-webui,AUTOMATIC1111/stable-diffusion-webui,AUTOMATIC1111,159000,29518,2443,Python,2022-08-22 14:05:26+00:00,2025-12-16 10:21:25+00:00,GNU Affero General Public License v3.0,https://github.com/AUTOMATIC1111/stable-diffusion-webui,1211,5.386543803780744,Very High
transformers,huggingface/transformers,huggingface,153922,31438,2163,Python,2018-10-29 13:56:00+00:00,2025-12-16 10:38:16+00:00,Apache License 2.0,https://github.com/huggingface/transformers,2604,4.89604936700808,Very High
langflow,langflow-ai/langflow,langflow-ai,141277,8172,935,Python,2023-02-08 22:28:03+00:00,2025-12-16 10:39:47+00:00,MIT License,https://github.com/langflow-ai/langflow,1041,17.287934410181105,Very High
youtube-dl,ytdl-org/youtube-dl,ytdl-org,139181,10575,4120,Python,2010-10-31 14:35:07+00:00,2025-12-16 10:18:28+00:00,The Unlicense,https://github.com/ytdl-org/youtube-dl,5524,13.161323877068558,Very High
yt-dlp,yt-dlp/yt-dlp,yt-dlp,138431,11178,2224,Python,2020-10-26 04:22:55+00:00,2025-12-16 10:38:16+00:00,The Unlicense,https://github.com/yt-dlp/yt-dlp,1877,12.384236893898729,Very High
HelloGitHub,521xueweihan/HelloGitHub,521xueweihan,137391,10995,229,Python,2016-05-04 06:24:11+00:00,2025-12-16 10:22:29+00:00,No License,https://github.com/521xueweihan/HelloGitHub,3513,12.495770804911324,Very High
langchain,langchain-ai/langchain,langchain-ai,122027,20129,286,Python,2022-10-17 02:58:36+00:00,2025-12-16 10:33:47+00:00,MIT License,https://github.com/langchain-ai/langchain,1156,6.062248497193105,Very High
DeepSeek-V3,deepseek-ai/DeepSeek-V3,deepseek-ai,100757,16416,70,Python,2024-12-26 09:52:40+00:00,2025-12-16 10:33:08+00:00,MIT License,https://github.com/deepseek-ai/DeepSeek-V3,355,6.137731481481482,Very High
ComfyUI,comfyanonymous/ComfyUI,comfyanonymous,97012,10988,3320,Python,2023-01-17 03:15:56+00:00,2025-12-16 10:39:40+00:00,GNU General Public License v3.0,https://github.com/comfyanonymous/ComfyUI,1064,8.828904259191846,Very High
pytorch,pytorch/pytorch,pytorch,95948,26247,17862,Python,2016-08-13 05:26:41+00:00,2025-12-16 10:19:15+00:00,Other,https://github.com/pytorch/pytorch,3412,3.655579685297367,Very High
thefuck,nvbn/thefuck,nvbn,94918,3801,397,Python,2015-04-08 15:08:04+00:00,2025-12-16 10:27:02+00:00,MIT License,https://github.com/nvbn/thefuck,3904,24.971849513285978,Very High
fastapi,fastapi/fastapi,fastapi,93111,8374,184,Python,2018-12-08 08:21:47+00:00,2025-12-16 10:24:53+00:00,MIT License,https://github.com/fastapi/fastapi,2565,11.119058992118461,Very High
whisper,openai/whisper,openai,92051,11538,110,Python,2022-09-16 20:02:54+00:00,2025-12-16 09:32:22+00:00,MIT License,https://github.com/openai/whisper,1186,7.978072456231582,Very High
django,django/django,django,86170,33373,369,Python,2012-04-28 02:47:18+00:00,2025-12-16 10:27:44+00:00,"BSD 3-Clause ""New"" or ""Revised"" License",https://github.com/django/django,4980,2.582027387408983,Very High
markitdown,microsoft/markitdown,microsoft,84276,4846,401,Python,2024-11-13 19:56:40+00:00,2025-12-16 10:37:34+00:00,MIT License,https://github.com/microsoft/markitdown,397,17.39083780437474,Very High
core,home-assistant/core,home-assistant,83193,36191,3272,Python,2013-09-17 07:29:48+00:00,2025-12-16 10:37:45+00:00,Apache License 2.0,https://github.com/home-assistant/core,4473,2.2987206764112624,Very High
awesome-llm-apps,Shubhamsaboo/awesome-llm-apps,Shubhamsaboo,83011,11703,3,Python,2024-04-29 05:30:25+00:00,2025-12-16 10:22:43+00:00,Apache License 2.0,https://github.com/Shubhamsaboo/awesome-llm-apps,596,7.093138511492779,Very High
manim,3b1b/manim,3b1b,82425,6982,483,Python,2015-03-22 18:50:58+00:00,2025-12-16 09:45:16+00:00,MIT License,https://github.com/3b1b/manim,3921,11.805356631337725,Very High
devops-exercises,bregman-arie/devops-exercises,bregman-arie,80259,18272,47,Python,2019-10-03 17:31:21+00:00,2025-12-16 09:47:10+00:00,Other,https://github.com/bregman-arie/devops-exercises,2265,4.392458406304729,Very High
funNLP,fighting41love/funNLP,fighting41love,77867,15097,43,Python,2018-08-21 11:20:39+00:00,2025-12-16 09:46:30+00:00,No License,https://github.com/fighting41love/funNLP,2673,5.157779691329403,Very High
models,tensorflow/models,tensorflow,77682,45373,1262,Python,2016-02-05 01:15:20+00:00,2025-12-16 09:59:40+00:00,Other,https://github.com/tensorflow/models,3602,1.712075463381306,Very High
Deep-Live-Cam,hacksider/Deep-Live-Cam,hacksider,76290,11120,93,Python,2023-09-24 13:19:31+00:00,2025-12-16 10:25:17+00:00,GNU Affero General Public License v3.0,https://github.com/hacksider/Deep-Live-Cam,813,6.860611510791367,Very High
d2l-zh,d2l-ai/d2l-zh,d2l-ai,74408,12024,120,Python,2017-08-23 04:40:24+00:00,2025-12-16 10:01:46+00:00,Apache License 2.0,https://github.com/d2l-ai/d2l-zh,3037,6.188290086493679,Very High
browser-use,browser-use/browser-use,browser-use,73758,8823,174,Python,2024-10-31 16:00:56+00:00,2025-12-16 10:36:49+00:00,MIT License,https://github.com/browser-use/browser-use,410,8.359741584495069,Very High
new-pac,Alvin9999/new-pac,Alvin9999,72932,10657,451,Python,2016-03-23 08:43:36+00:00,2025-12-16 10:36:36+00:00,No License,https://github.com/Alvin9999/new-pac,3555,6.843576991648682,Very High
PayloadsAllTheThings,swisskyrepo/PayloadsAllTheThings,swisskyrepo,72325,16329,15,Python,2016-10-18 07:29:07+00:00,2025-12-16 10:06:20+00:00,MIT License,https://github.com/swisskyrepo/PayloadsAllTheThings,3346,4.4292363280053895,Very High
screenshot-to-code,abi/screenshot-to-code,abi,71267,8806,134,Python,2023-11-14 17:53:32+00:00,2025-12-16 10:39:57+00:00,MIT License,https://github.com/abi/screenshot-to-code,762,8.093004769475357,Very High
awesome-machine-learning,josephmisiti/awesome-machine-learning,josephmisiti,70975,15201,21,Python,2014-07-15 19:11:19+00:00,2025-12-16 07:47:32+00:00,Other,https://github.com/josephmisiti/awesome-machine-learning,4171,4.669100717058089,Very High
sherlock,sherlock-project/sherlock,sherlock-project,70945,8364,179,Python,2018-12-24 14:30:48+00:00,2025-12-16 10:16:28+00:00,MIT License,https://github.com/sherlock-project/sherlock,2548,8.48218555714969,Very High
